epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,468.355,0,90.7578,0,0,0,0,0,0,234.588,0,0.000552339,0.000552339,0.000552339
2,941.074,0,44.9722,0,0,0,0,0,0,50.56,0,0.00108607,0.00108607,0.00108607
3,1457.32,0,12.6044,0,0,0,0,0,0,9.168,0,0.00159779,0.00159779,0.00159779
4,1965.87,0,1.45306,0,0,0,0,0,0,0.45762,0,0.00156798,0.00156798,0.00156798
5,2538.31,0,0.07728,0,0,0,0,0,0,0.01328,0,0.00153497,0.00153497,0.00153497
6,3190.84,0,0.00378,0,0,0,0,0,0,7e-05,0,0.00150197,0.00150197,0.00150197
7,3856.26,0,2e-05,0,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
8,4489.8,0,0,0,0,0,0,0,0,0,0,0.00143595,0.00143595,0.00143595
9,5135.47,0,0,0,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
10,5761.58,0,0,0,0,0,0,0,0,0,0,0.00136994,0.00136994,0.00136994
11,6399.75,0,0,0,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
12,7016.76,0,0,0,0,0,0,0,0,0,0,0.00130393,0.00130393,0.00130393
13,7669.06,0,0,0,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
14,8231.03,0,0,0,0,0,0,0,0,0,0,0.00123791,0.00123791,0.00123791
15,8725.5,0,0,0,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
16,9187.18,0,0,0,0,0,0,0,0,0,0,0.0011719,0.0011719,0.0011719
17,9717.73,0,0,0,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
18,10255.1,0,0,0,0,0,0,0,0,0,0,0.00110589,0.00110589,0.00110589
19,10719.6,0,0,0,0,0,0,0,0,0,0,0.00107288,0.00107288,0.00107288
20,11179,0,0,0,0,0,0,0,0,0,0,0.00103987,0.00103987,0.00103987
21,11639.8,0,0,0,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
22,12099.3,0,0,0,0,0,0,0,0,0,0,0.000973861,0.000973861,0.000973861
23,12558.7,0,0,0,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
24,13021.5,0,0,0,0,0,0,0,0,0,0,0.000907848,0.000907848,0.000907848
25,13483.7,0,0,0,0,0,0,0,0,0,0,0.000874842,0.000874842,0.000874842
26,13946.6,0,0,0,0,0,0,0,0,0,0,0.000841835,0.000841835,0.000841835
27,14406.7,0,0,0,0,0,0,0,0,0,0,0.000808828,0.000808828,0.000808828
28,14919,0,0,0,0,0,0,0,0,0,0,0.000775822,0.000775822,0.000775822
29,15867.8,0,0,0,0,0,0,0,0,0,0,0.000742815,0.000742815,0.000742815
30,16309.4,0,0,0,0,0,0,0,0,0,0,0.000709809,0.000709809,0.000709809
31,16750.4,0,0,0,0,0,0,0,0,0,0,0.000676802,0.000676802,0.000676802
32,17190,0,0,0,0,0,0,0,0,0,0,0.000643795,0.000643795,0.000643795
33,17630.1,0,0,0,0,0,0,0,0,0,0,0.000610789,0.000610789,0.000610789
34,18068.6,0,0,0,0,0,0,0,0,0,0,0.000577782,0.000577782,0.000577782
35,18673.6,0,0,0,0,0,0,0,0,0,0,0.000544776,0.000544776,0.000544776
36,19497.1,0,0,0,0,0,0,0,0,0,0,0.000511769,0.000511769,0.000511769
37,20079.4,0,0,0,0,0,0,0,0,0,0,0.000478762,0.000478762,0.000478762
38,20599,0,0,0,0,0,0,0,0,0,0,0.000445756,0.000445756,0.000445756
39,21094.7,0,0,0,0,0,0,0,0,0,0,0.000412749,0.000412749,0.000412749
40,21677.3,0,0,0,0,0,0,0,0,0,0,0.000379743,0.000379743,0.000379743
41,22151.8,0,0,0,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
42,22628.1,0,0,0,0,0,0,0,0,0,0,0.000313729,0.000313729,0.000313729
43,23102.5,0,0,0,0,0,0,0,0,0,0,0.000280723,0.000280723,0.000280723
44,23571.7,0,0,0,0,0,0,0,0,0,0,0.000247716,0.000247716,0.000247716
45,24036.9,0,0,0,0,0,0,0,0,0,0,0.00021471,0.00021471,0.00021471
46,24502.7,0,0,0,0,0,0,0,0,0,0,0.000181703,0.000181703,0.000181703
47,24968.9,0,0,0,0,0,0,0,0,0,0,0.000148696,0.000148696,0.000148696
48,25450.4,0,0,0,0,0,0,0,0,0,0,0.00011569,0.00011569,0.00011569
49,26062,0,0,0,0,0,0,0,0,0,0,8.26832e-05,8.26832e-05,8.26832e-05
50,26598.7,0,0,0,0,0,0,0,0,0,0,4.96766e-05,4.96766e-05,4.96766e-05
