epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,490.436,1.44913,2.35924,1.61607,0.42367,0.27769,0.26687,0.11483,1.97816,3.82002,2.72584,0.000552417,0.000552417,0.000552417
2,1069.93,1.57408,2.1511,1.75374,0.36666,0.38637,0.31062,0.12741,1.85788,3.57316,2.2955,0.00108614,0.00108614,0.00108614
3,1734.16,1.66014,2.10233,1.79817,0.27336,0.34675,0.21554,0.08713,2.12344,3.89067,2.53017,0.00159787,0.00159787,0.00159787
4,2385.73,1.63156,1.9802,1.76811,0.5581,0.38693,0.42713,0.19962,1.84899,2.08536,2.14054,0.00156798,0.00156798,0.00156798
5,3034.34,1.59931,1.86458,1.7517,0.49068,0.44507,0.4202,0.18335,1.92821,2.23976,2.27905,0.00153497,0.00153497,0.00153497
6,3680.68,1.56533,1.81174,1.71493,0.61602,0.5374,0.56925,0.27874,1.76255,1.82649,2.1162,0.00150197,0.00150197,0.00150197
7,4372.97,1.51703,1.70227,1.68021,0.64291,0.5632,0.59502,0.31989,1.60198,1.68343,1.9303,0.00146896,0.00146896,0.00146896
8,5060.34,1.5066,1.60719,1.66835,0.73523,0.59774,0.66658,0.36793,1.59484,1.50601,1.89257,0.00143595,0.00143595,0.00143595
9,5619.71,1.46776,1.59393,1.62723,0.69707,0.61702,0.67247,0.36198,1.58735,1.45215,1.89025,0.00140295,0.00140295,0.00140295
10,6321.2,1.43897,1.49283,1.59842,0.73085,0.62962,0.69184,0.38203,1.55529,1.38009,1.85097,0.00136994,0.00136994,0.00136994
11,7089.92,1.42981,1.50192,1.61669,0.73531,0.60496,0.67802,0.35523,1.63229,1.42599,1.91655,0.00133693,0.00133693,0.00133693
12,7781.67,1.39939,1.46275,1.57321,0.68116,0.59616,0.6264,0.3117,1.68943,1.56167,1.96412,0.00130393,0.00130393,0.00130393
13,8422.54,1.37372,1.41049,1.55934,0.75136,0.65235,0.72909,0.412,1.49819,1.33616,1.7935,0.00127092,0.00127092,0.00127092
14,9125.76,1.35088,1.34352,1.55442,0.71402,0.59729,0.6579,0.35917,1.61403,1.49663,1.92534,0.00123791,0.00123791,0.00123791
15,9813.13,1.3447,1.32586,1.5299,0.79037,0.66571,0.73498,0.42114,1.47513,1.32899,1.80154,0.00120491,0.00120491,0.00120491
16,10483.6,1.32866,1.29565,1.52201,0.79192,0.64127,0.72431,0.41018,1.494,1.28785,1.76991,0.0011719,0.0011719,0.0011719
17,11078.7,1.31268,1.27687,1.50839,0.8206,0.676,0.75259,0.43544,1.46652,1.24107,1.74654,0.00113889,0.00113889,0.00113889
18,11789,1.31918,1.28552,1.51582,0.76576,0.70636,0.75714,0.4525,1.44665,1.17199,1.73943,0.00110589,0.00110589,0.00110589
19,12498.5,1.28051,1.21594,1.49128,0.83464,0.68045,0.76988,0.45639,1.42626,1.13992,1.71361,0.00107288,0.00107288,0.00107288
20,13206.8,1.29908,1.24016,1.48467,0.8042,0.67574,0.74774,0.45951,1.40363,1.17751,1.69635,0.00103987,0.00103987,0.00103987
21,13886,1.28,1.19543,1.46925,0.79655,0.69584,0.7664,0.45071,1.42093,1.16689,1.71959,0.00100687,0.00100687,0.00100687
22,14583.1,1.25723,1.15327,1.46056,0.85349,0.70795,0.78475,0.47446,1.39648,1.08427,1.68246,0.000973861,0.000973861,0.000973861
23,15283.1,1.22575,1.13295,1.4446,0.76828,0.67813,0.73514,0.44411,1.41131,1.20961,1.68806,0.000940855,0.000940855,0.000940855
24,15966.6,1.20335,1.11472,1.43491,0.79897,0.68218,0.75637,0.45114,1.42865,1.17514,1.72057,0.000907848,0.000907848,0.000907848
25,16665,1.20227,1.07232,1.41208,0.85203,0.73647,0.80582,0.47942,1.39664,1.05383,1.69773,0.000874842,0.000874842,0.000874842
26,17360.8,1.19509,1.08093,1.42051,0.81901,0.75538,0.7991,0.49095,1.34026,1.06835,1.63767,0.000841835,0.000841835,0.000841835
27,18029.2,1.2034,1.0679,1.41404,0.80955,0.69288,0.75447,0.46075,1.39928,1.13778,1.69646,0.000808828,0.000808828,0.000808828
28,18700.1,1.17127,1.03561,1.40267,0.83746,0.64557,0.75067,0.46136,1.42525,1.11155,1.72577,0.000775822,0.000775822,0.000775822
29,19385.4,1.17529,1.00847,1.39188,0.83056,0.68055,0.76414,0.44567,1.4305,1.11902,1.73251,0.000742815,0.000742815,0.000742815
30,20076.8,1.15973,0.99841,1.38469,0.85901,0.74475,0.80549,0.48213,1.37268,1.00783,1.65536,0.000709809,0.000709809,0.000709809
31,20738.8,1.13931,0.98261,1.37662,0.82477,0.73504,0.79666,0.49385,1.4075,1.02351,1.70111,0.000676802,0.000676802,0.000676802
32,21301.5,1.13738,0.97619,1.36795,0.85106,0.73344,0.80315,0.49543,1.37761,1.01398,1.66465,0.000643795,0.000643795,0.000643795
33,21889.5,1.11215,0.94363,1.36335,0.86583,0.75378,0.82592,0.50427,1.34782,0.95191,1.64515,0.000610789,0.000610789,0.000610789
34,22543.3,1.11843,0.95139,1.36136,0.86458,0.75338,0.82253,0.50412,1.37032,0.93566,1.66367,0.000577782,0.000577782,0.000577782
35,23056.3,1.09569,0.93256,1.34806,0.86909,0.74212,0.81896,0.51235,1.35926,0.95873,1.62041,0.000544776,0.000544776,0.000544776
36,23724.9,1.08316,0.89493,1.3339,0.84675,0.76416,0.81775,0.51039,1.32717,0.95924,1.61508,0.000511769,0.000511769,0.000511769
37,24413.2,1.071,0.8837,1.33487,0.88394,0.7212,0.80607,0.49481,1.39188,0.97149,1.65707,0.000478762,0.000478762,0.000478762
38,25073.5,1.04744,0.85238,1.3067,0.82367,0.78635,0.82844,0.50291,1.36642,0.94282,1.65836,0.000445756,0.000445756,0.000445756
39,25568.9,1.055,0.86192,1.31101,0.8665,0.73537,0.80664,0.49632,1.34703,0.98528,1.64138,0.000412749,0.000412749,0.000412749
40,26118.1,1.04689,0.84937,1.30809,0.87877,0.73245,0.81001,0.50931,1.33203,0.92961,1.61511,0.000379743,0.000379743,0.000379743
41,26655.4,0.94064,0.66396,1.27338,0.83166,0.77149,0.81865,0.50569,1.34314,0.95947,1.64943,0.000346736,0.000346736,0.000346736
42,27196.7,0.91575,0.62713,1.2598,0.84581,0.77149,0.82123,0.51001,1.34299,0.93791,1.65885,0.000313729,0.000313729,0.000313729
43,27734.6,0.90329,0.61128,1.25099,0.8721,0.75751,0.83467,0.52363,1.31141,0.89497,1.62196,0.000280723,0.000280723,0.000280723
44,28273.3,0.86374,0.58092,1.21141,0.8116,0.77551,0.81757,0.51588,1.32411,0.91571,1.65009,0.000247716,0.000247716,0.000247716
45,28827.7,0.86147,0.56831,1.20994,0.85466,0.74208,0.81745,0.51251,1.31227,0.92108,1.64287,0.00021471,0.00021471,0.00021471
46,29387.2,0.84437,0.55142,1.20137,0.83172,0.76425,0.81761,0.51023,1.32022,0.90572,1.65063,0.000181703,0.000181703,0.000181703
47,29918,0.82546,0.54162,1.19214,0.85607,0.75458,0.82437,0.51564,1.31393,0.91192,1.65905,0.000148696,0.000148696,0.000148696
48,30460.9,0.81404,0.53249,1.17838,0.85579,0.757,0.81978,0.51775,1.32302,0.91779,1.66377,0.00011569,0.00011569,0.00011569
49,31004,0.80874,0.52957,1.17935,0.85277,0.77068,0.8253,0.51754,1.31695,0.90398,1.65799,8.26832e-05,8.26832e-05,8.26832e-05
50,31532.7,0.79575,0.51307,1.1676,0.8571,0.75136,0.82248,0.52177,1.30855,0.90525,1.65085,4.96766e-05,4.96766e-05,4.96766e-05
